SubjectID,Condition,TravelType,Level,Duration_1,Duration_2
22,0,0,3,10.1022,5.225098
22,0,1,3,59.30737,58.67447
22,0,2,3,14.33218,8.508301
23,1,0,1,15.11481,25.18494
23,1,1,1,58.39703,43.28198
23,1,2,1,26.86707,26.18604
23,1,0,2,15.01459,15.53503
23,1,1,2,77.43555,113.871
23,1,2,2,32.97192,22.06201
23,1,0,3,20.17957,18.81897
23,1,1,3,159.1353,133.53
23,1,2,3,23.2627,22.302
24,0,0,1,10.49432,12.0918
24,0,1,1,25.64549,23.38281
24,0,2,1,11.71359,14.97473
24,0,0,2,11.01389,5.765564
24,0,1,2,55.8093,50.24908
24,0,2,2,16.57092,10.4903
24,0,0,3,11.18239,6.706543
24,0,1,3,56.34912,60.39893
24,0,2,3,12.69299,11.37109
25,1,0,1,32.67188,24.86401
25,1,1,1,98.9256,17.63696
25,1,2,1,52.29114,41.16003
25,1,0,2,33.53271,30.229
25,1,1,2,90.07608,83.16101
25,1,2,2,36.99615,34.073
25,1,0,3,39.6582,36.396
25,1,1,3,104.9624,89.66699
25,1,2,3,34.31348,22.78198
26,0,0,1,14.63199,9.929749
26,0,1,1,23.84311,24.42383
26,0,2,1,17.6503,31.25055
26,0,0,2,9.554718,8.027893
26,0,1,2,54.0316,47.44629
26,0,2,2,15.59152,17.9375
26,0,0,3,11.83353,8.047913
26,0,1,3,52.57111,50.90967
26,0,2,3,18.38992,20.6601
27,1,0,1,20.21967,18.46979
27,1,1,1,41.47598,38.88329
27,1,2,1,43.96295,30.6232
27,1,0,2,18.87836,17.87009
27,1,1,2,98.38599,95.21403
27,1,2,2,20.21973,33.1817
27,1,0,3,37.69684,27.08508
27,1,1,3,80.21832,90.4993
27,1,2,3,25.08447,25.42599
28,1,0,1,22.8623,20.98849
28,1,1,1,51.91064,36.0802
28,1,2,1,22.10162,24.93019
28,1,0,2,21.36078,25.7659
28,1,1,2,115.9457,107.9631
28,1,2,2,20.53998,23.84689
28,1,0,3,23.76318,21.76801
28,1,1,3,172.0655,115.3308
28,1,2,3,22.78235,20.7486
29,0,0,1,14.89182,15.05469
29,0,1,1,21.12839,22.72223
29,0,2,1,45.27512,14.37402
29,0,0,2,18.5697,15.31488
29,0,1,2,49.31531,50.5293
29,0,2,2,33.30173,22.16156
29,0,0,3,14.21219,19.5791
29,0,1,3,57.5923,57.51611
29,0,2,3,22.9274,18.7984
30,1,0,1,22.56201,16.99597
30,1,1,1,41.22021,32.27197
30,1,2,1,31.74249,22.98303
30,1,0,2,27.28656,18.43799
30,1,1,2,63.3728,79.51697
30,1,2,2,33.88138,21.20105
30,1,0,3,16.65619,16.03503
30,1,1,3,82.4147,57.37598
30,1,2,3,20.80029,18.19702
