#Time To Switch#	#Num of Incorrect Switch#	#Target Mode#	#Current Mode#
2.172137	0	Walking	Walking
0	0		
1.358897	0	Walking	Walking
0	0		
2.536913	0	Segway	Segway
0	0		
3.332595	0	Segway	Segway
0	0		
1.790868	0	Surfing	Surfing
0	0		
2.255355	0	Surfing	Surfing
0	0		
1.641555	0	Walking	Walking
0	0		
2.469793	0	Walking	Walking
0	0		
1.110549	0	Segway	Segway
0	0		
1.69146	0	Walking	Walking
0	0		
1.873656	0	Segway	Segway
0	0		
1.1442	0	Surfing	Surfing
0	0		
2.503953	0	Segway	Segway
0	0		
4.09487	0	Surfing	Surfing
0	0		
2.055444	0	Surfing	Surfing
0	0		
2.802315	0	Surfing	Surfing
0	0		
1.293195	0	Segway	Segway
0	0		
0.7293734	0	Surfing	Surfing
0	0		
1.359562	0	Segway	Segway
0	0		
1.492227	0	Surfing	Surfing
0	0		
1.657964	0	Segway	Segway
0	0		
1.475511	0	Walking	Walking
0	0		
1.67485	0	Walking	Walking
0	0		
1.691686	0	Walking	Walking
0	0		
