SubjectID,Condition,Level,Pass,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
0,0,1,0,0.4413265,0.01084184,0.01020408,0.01084184,0.1320153,0.01147959,0.01020408,0.01020408,0.01084184,0.01084184,0.01020408,0.01020408,0.07079081,0,0,0,0,0,0,0,0.04719388,0.01147959,0.01020408,0.01020408,0.06441326,0.005102041,0.005102041,0.005102041,0.005739796,0.005102041,0.05420918,0.005102041,0.005102041,0.005102041,0.005739796,0.005102041
0,0,1,1,0.1953642,0.0187638,0.01766004,0.0187638,0.0187638,0.1732892,0.01766004,0.01766004,0.0187638,0.0187638,0.01766004,0.01766004,0.1048565,0.01214128,0,0,0,0,0,0,0.06291391,0.0187638,0.01766004,0.0187638,0.05739515,0.008830022,0.008830022,0.009933775,0.008830022,0.008830022,0.009933775,0.06401766,0.009933775,0.008830022,0.008830022,0.009933775
0,0,2,0,0.2053654,0.01572618,0.01480111,0.01572618,0.01572618,0.01665125,0.0999075,0.01572618,0.1165587,0.01665125,0.01480111,0.01480111,0.01572618,0.01572618,0.01480111,0.01480111,0.09343201,0,0,0,0,0.0212766,0.01480111,0.01480111,0.01572618,0.01572618,0.01480111,0.01572618,0.01572618,0.04810361,0.007400555,0.008325624,0.007400555,0.06845514,0.007400555,0.007400555
0,0,2,1,0.1942545,0.02188783,0.02325582,0.02325582,0.02188783,0.128591,0.02325582,0.02325582,0.02188783,0.02188783,0.129959,0.04377565,0.05745554,0.02325582,0.02188783,0.06839946,0.02599179,0,0,0,0,0,0,0,0,0,0,0,0,0.05882353,0.01094391,0.01094391,0.0123119,0.01094391,0.01094391,0.01094391
0,0,3,0,0.2428279,0.008196721,0.009221311,0.008196721,0.008196721,0.009221311,0.008196721,0.008196721,0.07684426,0.008196721,0.008196721,0.009221311,0.008196721,0.008196721,0.009221311,0.04815574,0.008196721,0.008196721,0.009221311,0.06352459,0.02663934,0.02459016,0.06147541,0.02663934,0.02561475,0.02459016,0.02561475,0.02663934,0.02459016,0.02459016,0.1413934,0,0,0,0,0
0,0,3,1,0.2451404,0.008639309,0.009719222,0.008639309,0.008639309,0.008639309,0.009719222,0.008639309,0.08639309,0.01079914,0.008639309,0.008639309,0.008639309,0.04103672,0.008639309,0.008639309,0.009719222,0.05615551,0.02699784,0.02699784,0.02807775,0.02591792,0.02699784,0.02699784,0.02699784,0.02591792,0.02699784,0.02807775,0.02591792,0.1306695,0.01835853,0,0,0,0,0
1,1,1,0,0.2571297,0.02207912,0.02115915,0.02161914,0.02161914,0.08647654,0.07313707,0.02207912,0.02069917,0.01977921,0.01931923,0.01839926,0.02207912,0.07405704,0,0,0,0,0,0.06945722,0.01609936,0.01885924,0.01885924,0.01977921,0.01931923,0.03357866,0.00873965,0.00873965,0.007819687,0.03311867,0.007819687,0.007819687,0.007819687,0.007359705,0.007819687,0.007359705
1,1,1,1,0.09316038,0.0129717,0.01061321,0.01061321,0.2311321,0.0129717,0.07429245,0.01179245,0.0129717,0.01061321,0.01061321,0.01061321,0.0129717,0.1273585,0,0,0,0,0.06839623,0.01415094,0.01179245,0.01179245,0.01415094,0.0129717,0.07429245,0.004716981,0.003537736,0.004716981,0.007075472,0.09433962,0.005896227,0.005896227,0.005896227,0.005896227,0.005896227,0.005896227
1,1,2,0,0.1669196,0.005311077,0.006069803,0.01669196,0.03717754,0.01365706,0.1009105,0.01441578,0.01365706,0.01972686,0.01820941,0.08497724,0.02124431,0.006069803,0.006828528,0.006828528,0.1282246,0,0.01289833,0.06828528,0.006828528,0.006069803,0.005311077,0.004552352,0.006069803,0.004552352,0.005311077,0.004552352,0.005311077,0.004552352,0.004552352,0.06449165,0.05007587,0.007587253,0.02883156,0.04324735
1,1,2,1,0.1197772,0.01532033,0.01392758,0.01253482,0.01532033,0.01810585,0.137883,0.1364903,0.01949861,0.01671309,0.01671309,0.01671309,0.01532033,0.01532033,0.01671309,0.01810585,0.09192201,0,0,0,0,0.1072423,0.01671309,0.01253482,0.01253482,0.01253482,0.01114206,0.01532033,0.01253482,0.01253482,0.01532033,0.01532033,0.04456824,0.004178273,0.005571031,0.005571031
