SubjectID,Condition,TravelType,Level,Pass,ResponseTime,#InitIncorrectSwitch,#InitIncorrectWalking,#InitIncorrectSegway,#InitIncorrectSurfing,#IncorrectSwitch,#IncorrectWalking,#IncorrectSegway,#IncorrectSurfing
5,1,1,2,0,1.998901,1,1,0,0,0,0,0,0
5,1,1,2,1,2.12207,5,5,0,0,0,0,0,0
5,1,2,2,0,2.962891,10,10,0,0,57,57,0,0
5,1,2,2,1,1.961914,1,1,0,0,24,24,0,0
5,1,0,3,0,1.180298,0,0,0,0,0,0,0,0
5,1,0,3,1,0.980896,0,0,0,0,0,0,0,0
5,1,1,3,0,2.298676,0,0,0,0,15,15,0,0
5,1,1,3,1,2.322205,1,1,0,0,1,1,0,0
5,1,2,3,0,1.339294,6,6,0,0,75,75,0,0
5,1,2,3,1,1.941895,14,14,0,0,1,1,0,0
6,0,0,1,0,1.499115,0,0,0,0,0,0,0,0
6,0,0,1,1,0.8607788,0,0,0,0,0,0,0,0
6,0,1,1,0,4.300903,0,0,0,0,0,0,0,0
6,0,1,1,1,2.322327,0,0,0,0,0,0,0,0
6,0,2,1,0,1.199402,0,0,0,0,0,0,0,0
6,0,2,1,1,2.98291,0,0,0,0,0,0,0,0
6,0,0,2,0,0.5997009,0,0,0,0,0,0,0,0
6,0,0,2,1,2.522461,0,0,0,0,0,0,0,0
6,0,1,2,0,2.060394,0,0,0,0,0,0,0,0
6,0,1,2,1,1.561462,0,0,0,0,0,0,0,0
6,0,2,2,0,1.61911,0,0,0,0,0,0,0,0
6,0,2,2,1,2.262329,0,0,0,0,0,0,0,0
6,0,0,3,0,0.740097,0,0,0,0,0,0,0,0
6,0,0,3,1,2.262207,0,0,0,0,0,0,0,0
6,0,1,3,0,1.958923,0,0,0,0,0,0,0,0
6,0,1,3,1,1.501465,0,0,0,0,0,0,0,0
6,0,2,3,0,1.938995,0,0,0,0,0,0,0,0
6,0,2,3,1,0.940918,0,0,0,0,0,0,0,0
7,1,0,1,0,0.7795105,0,0,0,0,0,0,0,0
7,1,0,1,1,0.4804077,0,0,0,0,0,0,0,0
7,1,1,1,0,2.280502,3,3,0,0,0,0,0,0
7,1,1,1,1,0.640625,1,1,0,0,4,4,0,0
7,1,2,1,0,0.9794006,3,3,0,0,0,0,0,0
7,1,2,1,1,0.4205322,0,0,0,0,0,0,0,0
7,1,0,2,0,0.8594971,0,0,0,0,0,0,0,0
7,1,0,2,1,0.9009399,0,0,0,0,0,0,0,0
7,1,1,2,0,1.339172,1,1,0,0,3,3,0,0
7,1,1,2,1,1.060974,4,4,0,0,14,14,0,0
7,1,2,2,0,0.699585,18,18,0,0,0,0,0,0
7,1,2,2,1,0.940918,2,2,0,0,0,0,0,0
7,1,0,3,0,0.2,0,0,0,0,0,0,0,0
7,1,0,3,1,0.9009399,0,0,0,0,0,0,0,0
7,1,1,3,0,1.339203,1,1,0,0,48,48,0,0
7,1,1,3,1,0.7006836,2,2,0,0,59,22,0,37
7,1,2,3,0,0.819519,3,3,0,0,0,0,0,0
7,1,2,3,1,0.3602905,0,0,0,0,0,0,0,0
8,0,0,1,0,1.279297,0,0,0,0,0,0,0,0
8,0,0,1,1,5.417084,0,0,0,0,0,0,0,0
8,0,1,1,0,4.200912,1,0,0,1,0,0,0,0
8,0,1,1,1,4.864685,0,0,0,0,0,0,0,0
8,0,2,1,0,3.877899,0,0,0,0,0,0,0,0
8,0,2,1,1,0.699707,0,0,0,0,0,0,0,0
8,0,0,2,0,1.19928,0,0,0,0,0,0,0,0
8,0,0,2,1,1.541504,0,0,0,0,0,0,0,0
8,0,1,2,0,1.680405,0,0,0,0,0,0,0,0
8,0,1,2,1,5.14502,0,0,0,0,0,0,0,0
8,0,2,2,0,1.03949,0,0,0,0,0,0,0,0
8,0,2,2,1,1.659088,0,0,0,0,0,0,0,0
8,0,0,3,0,3.158295,0,0,0,0,0,0,0,0
8,0,0,3,1,2.202087,0,0,0,0,0,0,0,0
8,0,1,3,0,0.8802032,0,0,0,0,0,0,0,0
8,0,1,3,1,3.523438,0,0,0,0,0,0,0,0
8,0,2,3,0,2.538605,0,0,0,0,0,0,0,0
8,0,2,3,1,2.25882,0,0,0,0,0,0,0,0
9,1,0,1,0,0.07998657,0,0,0,0,0,0,0,0
9,1,0,1,1,0.0201416,0,0,0,0,0,0,0,0
9,1,1,1,0,4.217712,1,1,0,0,0,0,0,0
9,1,1,1,1,1.601563,1,1,0,0,0,0,0,0
9,1,2,1,0,3.678009,0,0,0,0,0,0,0,0
9,1,2,1,1,2.202087,4,4,0,0,0,0,0,0
9,1,0,2,0,1.379303,0,0,0,0,0,0,0,0
9,1,0,2,1,0.0401001,0,0,0,0,0,0,0,0
9,1,1,2,0,5.241104,2,2,0,0,0,0,0,0
9,1,1,2,1,1.861816,1,1,0,0,0,0,0,0
9,1,2,2,0,4.377625,1,1,0,0,0,0,0,0
9,1,2,2,1,1.261353,0,0,0,0,0,0,0,0
9,1,0,3,0,2.638519,0,0,0,0,0,0,0,0
9,1,0,3,1,1.721741,0,0,0,0,0,0,0,0
9,1,1,3,0,1.798981,1,1,0,0,0,0,0,0
9,1,1,3,1,2.322327,2,2,0,0,7,7,0,0
9,1,2,3,0,3.937897,2,2,0,0,6,6,0,0
9,1,2,3,1,2.602478,4,4,0,0,0,0,0,0
10,0,0,1,0,1.19928,0,0,0,0,0,0,0,0
10,0,0,1,1,1.299286,0,0,0,0,0,0,0,0
10,0,1,1,0,1.299286,0,0,0,0,0,0,0,0
10,0,1,1,1,1.021057,0,0,0,0,0,0,0,0
10,0,2,1,0,1.220306,0,0,0,0,0,0,0,0
10,0,2,1,1,1.781738,0,0,0,0,0,0,0,0
10,0,0,2,0,1.319305,0,0,0,0,0,0,0,0
10,0,0,2,1,1.241211,0,0,0,0,0,0,0,0
10,0,1,2,0,3.080688,0,0,0,0,0,0,0,0
10,0,1,2,1,3.963928,0,0,0,0,0,0,0,0
10,0,2,2,0,1.679108,0,0,0,0,0,0,0,0
10,0,2,2,1,2.041992,0,0,0,0,0,0,0,0
10,0,0,3,0,0.9194946,0,0,0,0,0,0,0,0
10,0,0,3,1,1.70166,0,0,0,0,0,0,0,0
10,0,1,3,0,6.781403,0,0,0,0,0,0,0,0
10,0,1,3,1,2.54248,0,0,0,0,0,0,0,0
10,0,2,3,0,1.878876,0,0,0,0,0,0,0,0
10,0,2,3,1,0.5797119,0,0,0,0,0,0,0,0
11,1,0,1,0,0.5405273,0,0,0,0,0,0,0,0
11,1,0,1,1,2.462402,0,0,0,0,0,0,0,0
11,1,1,1,0,2.878479,0,0,0,0,0,0,0,0
11,1,1,1,1,2.042114,4,4,0,0,0,0,0,0
11,1,2,1,0,5.297119,1,1,0,0,3,3,0,0
11,1,2,1,1,2.842896,1,1,0,0,0,0,0,0
11,1,0,2,0,0.6807251,0,0,0,0,0,0,0,0
11,1,0,2,1,1.321045,0,0,0,0,0,0,0,0
11,1,1,2,0,2.01889,1,1,0,0,5,5,0,0
