SubjectID,Condition,TravelType,Level,Pass,Duration
0,0,0,1,0,20.4843
0,0,0,1,1,16.65619
0,0,1,1,0,31.70258
0,0,1,1,1,28.76801
0,0,2,1,0,8.375397
0,0,2,1,1,9.709534
0,0,0,2,0,20.2489
0,0,0,2,1,14.17377
0,0,1,2,0,67.36301
0,0,1,2,1,70.2085
0,0,2,2,0,8.955109
0,0,2,2,1,8.56842
0,0,0,3,0,17.31039
0,0,0,3,1,16.23584
0,0,1,3,0,65.66391
0,0,1,3,1,73.95221
0,0,2,3,0,12.8409
0,0,2,3,1,25.74524
1,1,0,1,0,35.94031
1,1,0,1,1,15.65533
1,1,1,1,0,43.6694
1,1,1,1,1,39.85889
1,1,2,1,0,26.46561
1,1,2,1,1,24.96429
1,1,0,2,0,24.65817
1,1,0,2,1,13.85352
1,1,1,2,0,62.66562
1,1,1,2,1,116.2869
1,1,2,2,0,51.5538
1,1,2,2,1,24.50391
1,1,0,3,0,18.70399
1,1,0,3,1,29.44867
1,1,1,3,0,88.7426
1,1,1,3,1,93.11078
1,1,2,3,0,25.24058
1,1,2,3,1,24.40381
2,0,0,1,0,10.2222
2,0,0,1,1,13.974
2,0,1,1,0,28.8862
2,0,1,1,1,22.54199
2,0,2,1,0,14.39209
2,0,2,1,1,9.929749
2,0,0,2,0,9.582108
2,0,0,2,1,10.7511
2,0,1,2,0,58.66769
2,0,1,2,1,50.16888
2,0,2,2,0,10.99411
2,0,2,2,1,18.91803
2,0,0,3,0,8.1017
2,0,0,3,1,11.87195
2,0,1,3,0,55.4295
2,0,1,3,1,53.0918
2,0,2,3,0,18.2639
2,0,2,3,1,8.80896
3,1,0,1,0,19.98901
3,1,0,1,1,16.396
3,1,1,1,0,54.8898
3,1,1,1,1,29.12903
3,1,2,1,0,2.142151
3,1,2,1,1,24.76428
3,1,0,2,0,29.7037
3,1,0,2,1,16.53601
3,1,1,2,0,82
3,1,1,2,1,62.82129
3,1,2,2,0,30.3075
3,1,2,2,1,30.16895
3,1,0,3,0,29.8436
3,1,0,3,1,22.34204
3,1,1,3,0,84.02191
3,1,1,3,1,78.27631
3,1,2,3,0,34.04129
3,1,2,3,1,27.74695
4,0,0,1,0,9.982208
4,0,0,1,1,9.949707
4,0,1,1,0,26.0455
4,0,1,1,1,22.06158
4,0,2,1,0,8.555298
4,0,2,1,1,8.415375
4,0,0,2,0,9.081894
4,0,0,2,1,9.208984
4,0,1,2,0,50.39899
4,0,1,2,1,48.90765
4,0,2,2,0,9.035004
4,0,2,2,1,22.33438
4,0,0,3,0,12.76271
4,0,0,3,1,9.809448
4,0,1,3,0,51.3118
4,0,1,3,1,50.19238
4,0,2,3,0,8.975098
4,0,2,3,1,10.69037
5,1,0,1,0,18.10999
5,1,0,1,1,16.05554
5,1,1,1,0,34.86081
5,1,1,1,1,20.17975
5,1,2,1,0,35.9751
5,1,2,1,1,27.5069
5,1,0,2,0,18.13411
5,1,0,2,1,16.617
5,1,1,2,0,72.1004
5,1,1,2,1,58.87744
5,1,2,2,0,31.6709
5,1,2,2,1,31.59094
5,1,0,3,0,19.8842
5,1,0,3,1,16.25549
5,1,1,3,0,69.5936
5,1,1,3,1,53.07184
5,1,2,3,0,27.92459
5,1,2,3,1,24.44379
6,0,0,1,0,8.975098
6,0,0,1,1,20.44
6,0,1,1,0,28.6862
6,0,1,1,1,28.44781
6,0,2,1,0,25.1062
6,0,2,1,1,15.43506
6,0,0,2,0,7.835693
6,0,0,2,1,8.408203
6,0,1,2,0,67.45409
6,0,1,2,1,61.6001
6,0,2,2,0,15.73138
6,0,2,2,1,19.89935
6,0,0,3,0,10.84239
6,0,0,3,1,11.57129
6,0,1,3,0,65.64389
6,0,1,3,1,72.91113
6,0,2,3,0,17.25052
6,0,2,3,1,16.9165
7,1,0,1,0,17.05069
7,1,0,1,1,17.59723
7,1,1,1,0,38.2281
7,1,1,1,1,22.72217
7,1,2,1,0,15.5715
7,1,2,1,1,15.4751
7,1,0,2,0,12.13339
7,1,0,2,1,14.25391
7,1,1,2,0,62.12592
7,1,1,2,1,48.5874
7,1,2,2,0,13.4126
7,1,2,2,1,14.33398
7,1,0,3,0,14.263
7,1,0,3,1,15.03461
7,1,1,3,0,58.74771
7,1,1,3,1,52.71136
7,1,2,3,0,14.63199
7,1,2,3,1,14.47406
8,0,0,1,0,10.83401
8,0,0,1,1,9.794617
8,0,1,1,0,24.22519
8,0,1,1,1,23.08264
8,0,2,1,0,8.955109
8,0,2,1,1,6.864685
8,0,0,2,0,7.415894
8,0,0,2,1,7.407227
8,0,1,2,0,53.5714
8,0,1,2,1,48.76758
8,0,2,2,0,7.695709
8,0,2,2,1,7.335999
8,0,0,3,0,7.216003
8,0,0,3,1,6.045898
8,0,1,3,0,57.64629
8,0,1,3,1,50.74945
8,0,2,3,0,9.274902
8,0,2,3,1,7.135986
9,1,0,1,0,17.79022
9,1,0,1,1,18.99847
9,1,1,1,0,18.5098
9,1,1,1,1,16.41602
9,1,2,1,0,15.61139
9,1,2,1,1,12.07178
9,1,0,2,0,13.57251
9,1,0,2,1,14.53424
9,1,1,2,0,52.98759
9,1,1,2,1,44.12311
9,1,2,2,0,16.371
9,1,2,2,1,13.53314
9,1,0,3,0,13.8324
9,1,0,3,1,12.49207
9,1,1,3,0,47.6738
9,1,1,3,1,53.11176
9,1,2,3,0,17.61032
9,1,2,3,1,17.07672
10,0,0,1,0,16.431
10,0,0,1,1,11.8735
10,0,1,1,0,20.46872
10,0,1,1,1,21.56097
10,0,2,1,0,10.35559
10,0,2,1,1,9.849548
10,0,0,2,0,14.1322
10,0,0,2,1,17.29688
10,0,1,2,0,44.72951
10,0,1,2,1,47.90668
10,0,2,2,0,13.53259
10,0,2,2,1,10.3501
10,0,0,3,0,14.05222
10,0,0,3,1,13.29291
10,0,1,3,0,53.19141
10,0,1,3,1,53.35205
10,0,2,3,0,13.4126
10,0,2,3,1,10.93481
11,1,0,1,0,23.2027
11,1,0,1,1,18.71851
11,1,1,1,0,28.66513
11,1,1,1,1,31.81091
11,1,2,1,0,25.20609
11,1,2,1,1,22.94202
11,1,0,2,0,21.2207
